,customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure,MonthlyCharges,TotalCharges
0,5375,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,0,-1.2774445836787656,-1.1603229160349193,-0.9926105235902257
1,3962,1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,3,0,0.06632741908223598,-0.2596289419448806,-0.17216470898960817
2,2564,1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,1,-1.2367242199587352,-0.3626603559551803,-0.9580659010627455
3,5535,1,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,0,0.5142514200025698,-0.7465354629935549,-0.1936723762720431
4,6511,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,-1.2367242199587352,0.19736523310080326,-0.9388744441030343
5,6551,0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1,-0.9924020376385531,1.1595456961969886,-0.6437892489880273
6,1002,1,0,0,1,1,2,1,0,2,0,0,2,0,0,1,1,0,-0.4223169455581282,0.8089065291619363,-0.14573785216462656
7,4770,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,-0.9109613101984924,-1.1636465100352518,-0.8725867105812734
8,5604,0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1,-0.1779947632379461,1.330710787214099,0.33808539553347106
9,4534,1,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,1.2064976032430856,-0.28621769394753876,0.5330441272690194
10,6871,1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,3,0,-0.7888002190384014,-0.4922805219681379,-0.7466069281710316
11,5288,1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,0,-0.6666391278783103,-1.5225946620711341,-0.8616012559077836
12,5751,1,0,1,0,1,2,1,0,0,2,0,2,2,1,0,1,0,1.0436161483629645,1.182810854199314,1.5006244452274227
13,174,1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,1,0.6771328748826912,1.2941512532104444,1.2161496993050833
14,3615,1,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,0,-0.30015585439803716,1.3539759452164248,0.17925954483241316
15,2556,0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,0,1.4915401492832983,1.611554480242174,2.4774254861848592
16,5820,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0,0.7992939660427822,-1.4660935640654862,-0.5544717671146129
17,7019,1,0,0,1,1,2,1,2,0,2,0,2,2,2,0,0,0,1.5729808767233588,1.393859073220412,2.251142767227713
18,2937,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,1,1,-0.9109613101984924,-0.31779183695069496,-0.7726808386611219
19,2928,0,0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,0,-0.46303730927815856,0.8404806721650927,-0.18390017462474187
20,6207,1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,1,-1.2774445836787656,-0.8346107040023594,-0.988286930987808
21,1141,1,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,0,-0.8295205827584317,-1.4943441130683104,-0.9165505884211634
22,723,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,1,-1.2774445836787656,-1.4827115340671475,-0.9968899979007819
23,2541,0,0,1,0,1,2,0,0,2,0,2,0,0,2,1,1,0,1.0436161483629645,-0.1615829189350795,0.5406104143232504
24,4479,1,0,1,1,1,0,0,2,2,0,2,0,0,0,0,1,0,0.6771328748826912,-0.17155370093607614,0.3046657894484568
25,4873,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,-0.0965540357978854,-0.31446824295036285,-0.33050525848019063
26,4584,1,0,1,1,1,2,1,0,2,0,0,2,2,0,1,2,1,0.5956921474426305,1.1495749141959914,1.0894640242250588
27,6119,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,1,-1.2774445836787656,-1.1486903370337564,-0.9924561095687108
28,3733,1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,1,0,1.6137012404433893,0.8471278601657574,1.8043127072554035
29,6199,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,3,1,-0.62591876415828,-0.0020504069191315333,-0.5235227853738373
30,2700,0,1,1,0,1,2,1,2,2,2,2,0,0,2,1,1,0,1.5729808767233588,1.0498670941860242,1.9796829174044883
31,3481,1,1,1,0,1,0,1,0,0,2,0,2,2,0,1,1,0,-1.2367242199587352,1.0216165451832002,-0.9256389565446128
32,4844,0,0,1,1,1,0,0,2,2,2,2,0,0,1,0,3,0,-0.21871512695797646,0.046141706085686136,-0.1788045119147496
33,5194,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0,-1.2774445836787656,-1.481049737066981,-0.9968679387548512
34,2384,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2774445836787656,-0.6484894399837535,-0.9858163066435692
35,4423,0,0,1,1,1,2,1,2,2,0,2,2,0,2,0,0,0,1.6137012404433893,1.1678546811978192,2.193546337202649
36,4292,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,-1.1145631287986442,0.16412929309748078,-0.8659689668020626
37,4656,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0.5549717837226001,0.33363258711442517,0.5596695164073775
38,3828,1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,1,0.06632741908223598,1.3822264942192488,0.5600886401800608
39,5803,0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,1,-0.8702409464784621,1.099721004191008,-0.5180962354748845
40,6263,1,0,1,1,1,0,0,0,2,0,0,0,0,1,0,3,0,-0.9109613101984924,-0.5055748979694671,-0.7959091193261516
41,6671,0,0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,0,1.5322605130033284,0.14751132309581955,1.1438177597983101
42,6956,0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0,-0.62591876415828,-1.462769970065154,-0.8212550780005288
43,3268,0,0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,0,1.247217966963116,0.5014740841312035,1.1390088659854167
44,2862,0,0,1,0,1,2,0,2,2,0,2,2,0,0,1,2,0,-0.7888002190384014,0.3801629031190768,-0.5727808582370959
45,2599,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,0,0.6771328748826912,0.6560212051466532,0.7177894744386527
46,4212,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,-1.2367242199587352,-0.5155456799704636,-0.9629850906052922
47,5510,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,1,-1.2367242199587352,0.5280628361338618,-0.9421833159926397
48,5427,1,0,0,0,1,2,0,2,0,0,2,2,2,2,1,1,0,0.7992939660427822,0.4981504901308714,0.8550414804194837
49,2047,0,0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,0,1.4915401492832983,-0.020330173920958795,0.8710564203651738
50,5686,0,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,0,0.43281069256250915,0.8471278601657574,0.6878110951188281
51,6630,0,0,0,0,1,0,1,2,2,0,0,2,2,0,1,1,1,-0.7073594915983407,1.141265929195161,-0.37647651859977455
52,4658,0,1,1,0,1,2,0,2,0,0,2,2,0,0,1,1,0,-0.30015585439803716,0.1574821050968162,-0.23254059140194083
53,5305,0,1,1,0,1,2,1,0,2,0,0,0,0,0,1,1,1,-0.9924020376385531,0.5280628361338618,-0.7263786913525774
54,3265,0,1,1,1,1,0,0,2,2,2,2,0,2,1,1,1,0,1.125056875803025,0.33529438411459117,0.9602856656548654
55,1129,1,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1,-0.5851984004382496,1.0199547481830342,-0.2325847096938023
56,6198,0,0,1,1,1,2,1,2,0,0,0,2,2,1,1,1,0,1.247217966963116,1.1595456961969886,1.778613802246135
57,3578,1,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,0,1.369379058123207,1.4520219682262263,2.1161849124236753
58,2783,0,0,1,1,1,2,2,1,1,1,1,1,1,2,0,1,0,0.06632741908223598,-1.3231790220511994,-0.6112299495943104
